host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5,leader_boot_session_id,leader_sample_sequence,leader_sample_gap_ms,leader_sample_age_ms,leader_response_mask,leader_model_mask,leader_torque_off_mask,leader_calibration_crc32,leader_read_errors,leader_torque_errors,leader_rssi_dbm,leader_recovery_count,control_chain_ack_latency_ms
10503.615668974,1890068650,39,39,1,0,5,32.82872700037842,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,496,33.48790899872256,0.30581700048060156,63,63,63,2637611057,0,0,-39,0,33.25218400095764
10503.682449216,1890068650,41,40,1,0,19,66.30400199901487,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,498,33.298324000497814,0.32060500052466523,63,63,63,2637611057,0,0,-39,0,66.73410199982754
10503.715604985,1890068650,42,42,1,0,5,32.69426599945291,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,501,66.77865900019242,0.3022580003744224,63,63,63,2637611057,0,0,-39,0,33.11121200022171
10503.782376228,1890068650,44,43,1,0,19,66.31027200091921,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,503,33.156497000163654,0.30639599935966544,63,63,63,2637611057,0,0,-39,0,66.7259580004611
10503.815726637,1890068650,45,45,1,0,5,32.866198000192526,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,505,33.499428998766234,0.32129999999597203,63,63,63,2637611057,0,0,-39,0,33.30266500051948
10503.882188277,1890068650,47,46,1,0,19,65.98620100157859,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,507,33.347769000101835,0.32036599986895453,63,63,63,2637611057,0,0,-39,0,66.41653600127029
10503.915679463,1890068650,48,48,1,0,5,33.01825699963956,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,511,33.30722999999125,0.3064720003749244,63,63,63,2637611057,0,0,-39,0,33.44499699960579
10503.982406777,1890068650,50,49,1,0,19,66.24755300072138,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,513,33.49039599925163,0.31321200003731064,63,63,63,2637611057,0,0,-39,0,66.68191500102694
10504.048939076,1890068650,52,50,1,0,37,99.50163699977566,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,514,33.199477000380284,0.3788110007008072,63,63,63,2637611057,0,0,-39,0,100.01473699958296
10504.082380819,1890068650,53,52,1,0,21,66.20616100008192,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,518,33.27401200112945,0.32335899959434755,63,63,63,2637611057,0,0,-39,0,66.65249099933135
10504.115440843,1890068650,54,53,1,0,34,65.91295999896829,-43,63,4.632768361581924,-99.83443708609272,95.53610503282275,53.67983367983368,3.8339438339438487,7.274063188831742,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,-0.03681553890925539,-1.8791264651599104,1.5968740001889525,1.4097283440669042,-0.0966407896367954,-0.4724660826687775,3883325296,519,33.2671609994577,0.40244299998448696,63,63,63,2637611057,0,0,-39,0,66.44535399937013
